customer_id,model,sales_price,sales_ts,VIN
896871,Model D,83834.98,2021-12-01 00:01:42,YRD8J9TR7KER
207956,Model C,67535.66,2021-12-01 00:21:59,HOLHNNI6A1VS
540608,Model D,82817.38,2021-12-01 01:28:17,DSZ8YJ7FHKDW
637544,Model R,118014.17,2021-12-01 02:39:27,NR8BGXN9IG30
948989,Model R,115285.44,2021-12-01 12:10:04,4EIO6XAKR5GA
960793,Model R,96941.9,2021-12-01 13:05:04,UFSVMS0N596V
793567,Model R,104122.57,2021-12-01 16:39:29,DOBO867RMDPV
336362,Model C,69028.41,2021-12-01 17:51:09,MKZ2XILDORZ9
204969,Model D,91045.83,2021-12-01 19:02:22,SZTU6XMLHZY1
220652,Model R,116057.46,2021-12-01 21:08:34,IK88G1LW8STZ
411053,Model R,108314.36,2021-12-02 01:33:15,F50R6HZRI5HI
846428,Model R,119580.52,2021-12-02 04:15:24,F1GXWP8CJ6J9
258364,Model D,78887.54,2021-12-02 07:44:43,0VT60WURSUD3
468098,Model C,72595.98,2021-12-02 16:11:28,6X276RNXAD2K
645109,Model D,80043.79,2021-12-02 18:27:43,V56ZWA9V4YNX
364915,Model C,71826.9,2021-12-02 18:43:44,XTN98H2PUHC3
280023,Model R,94080.35,2021-12-02 23:30:15,HU9BX4H9ZMFD
399795,Model C,83217.06,2021-12-03 00:59:37,4GU4SCZ5J8TD
183080,Model D,89607.66,2021-12-03 03:03:51,1MZRD9BLHB12
473174,Model R,106876.42,2021-12-03 09:48:53,0VC1MDI1CXI9
278514,Model R,100514.91,2021-12-03 14:26:55,86AABBY4U2X3
825554,Model C,78250.23,2021-12-03 14:30:27,N5FZYJVM266X
173889,Model R,106958.72,2021-12-03 17:18:08,1SU64EYW3B3G
412859,Model R,101811.48,2021-12-04 03:45:36,LPJ6J29A4H91
257232,Model D,89693.62,2021-12-04 05:42:43,NAMCPYK6L5JU
329603,Model C,70157.59,2021-12-04 05:59:26,NGVKYBR7Y64E
310514,Model C,83917.62,2021-12-04 06:29:55,OMIVFN83PRYP
588004,Model D,80911.19,2021-12-04 10:57:41,XYIVSIJA7J7P
117623,Model R,101448.95,2021-12-04 18:16:35,96C7YXA248O9
188954,Model D,90314.31,2021-12-05 02:29:54,P4WXVDMEF3I4
744189,Model R,106396.32,2021-12-05 18:51:15,HER7Z4WEFI3C
540087,Model C,76932.7,2021-12-05 21:57:40,I4IPZYW9VHOE
952304,Model R,117192.72,2021-12-06 05:42:23,DXQW9L9OSPDD
869188,Model D,76703.67,2021-12-06 07:20:36,BD8X9EZA2B8R
818847,Model C,76169.67,2021-12-07 19:29:46,MWF83R4HEMP7
377313,Model R,108881.87,2021-12-08 07:39:24,AORT60GTREFW
116472,Model C,78783.57,2021-12-08 14:38:37,0WLCUULG4MC9
218948,Model R,96163.93,2021-12-08 15:03:13,R0A0IDFRAYC6
